id;abbreviation;ekatte_num;name
3;BGS01-03;36227;Карагеоргиево
4;BGS01-04;36381;Караново
5;BGS01-06;46440;Малка поляна
6;BGS01-07;49477;Мъглен
7;BGS01-08;56321;Пещерско
8;BGS01-09;56438;Пирне
9;BGS01-10;57426;Поляново
10;BGS01-11;62013;Раклиново
11;BGS01-12;70473;Съдиево
12;BGS01-13;72727;Тополица
13;BGS01-14;80813;Черна могила
14;BGS01-15;81102;Черноград
15;BGS01-16;81640;Чукарка
19;BGS04-05;23090;Драганово
20;BGS04-07;32425;Изворище
21;BGS04-09;47202;Маринка
22;BGS04-10;61145;Равнец
23;BGS04-12;72151;Твърдица
24;BGS04-14;21141;Димчево
25;BGS04-15;32367;Извор
26;BGS06-05;20273;Дебелт
27;BGS06-08;23604;Драчево
28;BGS06-09;24712;Дюлево
29;BGS06-10;29221;Момина църква
30;BGS06-11;30168;Загорци
31;BGS06-15;53984;Орлинци
32;BGS06-18;65560;Светлина
33;BGS06-23;76039;Факия
34;BGS06-24;31379;Зорница
35;BGS08-01;11096;Винарско
36;BGS08-02;12245;Вратица
37;BGS08-03;29249;Желязово
38;BGS08-04;40381;Кръстина
39;BGS08-05;43623;Ливада
40;BGS08-06;52279;Константиново
41;BGS08-07;57337;Полски извор
42;BGS08-08;63478;Русокастро
43;BGS08-09;65783;Свобода
44;BGS08-10;73211;Трояново
45;BGS08-11;73388;Тръстиково
46;BGS08-12;80916;Черни връх
49;BGS09-03;10625;Венец
50;BGS09-05;20417;Деветак
51;BGS09-07;21508;Добриново
52;BGS09-09;23306;Драгово
53;BGS09-10;27169;Екзарх Антимово
54;BGS09-12;29492;Житосвят
55;BGS09-13;30853;Зимен
56;BGS09-14;32809;Искра
57;BGS09-15;37201;Кликач
58;BGS09-16;40021;Крумово градище
59;BGS09-19;51202;Невестино
60;BGS09-22;66408;Сигмен
61;BGS09-23;67920;Соколово
62;BGS09-24;70576;Сърнево
63;BGS09-26;77089;Хаджиите
64;BGS09-28;78416;Церковски
65;BGS09-29;80755;Черково
66;BGS09-30;53312;Огнен
67;BGS12-05;17693;Граматиково
68;BGS12-07;30483;Звездец
71;BGS13-04;10094;Варвара
72;BGS13-07;38947;Кости
73;BGS13-08;44094;Лозенец
74;BGS13-12;66528;Синеморец
76;BGS15-02;11538;Свети Влас
77;BGS15-03;18469;Гюльовца
78;BGS15-04;39164;Кошарица
79;BGS15-05;53045;Обзор
80;BGS15-06;53822;Оризаре
81;BGS15-08;61056;Равда
82;BGS15-09;73571;Тънково
2;BGS01-02;30805;Зетьово
85;BGS17-04;14057;Габерово
86;BGS17-05;16064;Горица
87;BGS17-06;18229;Гълъбец
88;BGS17-07;24253;Дъбник
18;BGS04-04;07332;Българово
47;BGS09-01;00775;Аспарухово
48;BGS09-02;02765;Детелина
69;BGS13-01;00878;Ахтопол
70;BGS13-02;06553;Бродилово
75;BGS15-01;02703;Баня
83;BGS17-02;00833;Ахелой
84;BGS17-03;02810;Бата
89;BGS17-08;27440;Белодол
90;BGS17-09;35033;Каблешково
91;BGS17-10;35691;Каменар
92;BGS17-11;37753;Козичино
93;BGS17-12;38769;Косовец
94;BGS17-13;44425;Лъка
95;BGS17-14;47651;Медово
96;BGS17-15;57790;Порой
97;BGS17-16;69746;Страцин
99;BGS18-02;11363;Вишна
100;BGS18-03;12303;Вресово
101;BGS18-04;15967;Подгорец
102;BGS18-05;21333;Добра поляна
103;BGS18-06;21614;Добромир
104;BGS18-07;23755;Дропла
105;BGS18-08;24699;Дъскотна
106;BGS18-09;30234;Заимчево
107;BGS18-10;30243;Зайчар
108;BGS18-11;35955;Каменяк
109;BGS18-12;36213;Каравельово
110;BGS18-13;43880;Листец
111;BGS18-14;44690;Люляково
112;BGS18-15;46930;Припек
113;BGS18-16;49254;Мрежичко
